paper_id,title,author,category,keywords,abstract,link
68,BPR: Bayesian Personalized Ranking from Implicit Feedback,Steffen Rendle et al.,Recommendation Systems,"bpr,recommendation",Ranking optimization for implicit feedback recommendation.,https://arxiv.org/abs/1205.2618
69,Factorization Machines,Steffen Rendle,Recommendation Systems,"factorization machines,recommendation",General predictor using factorized interactions.,https://ieeexplore.ieee.org/document/5694074
70,DeepFM: A Factorization-Machine based Neural Network for CTR Prediction,Huifeng Guo et al.,Recommendation Systems,"deepfm,ctr,recommendation",Combines factorization machines and deep learning for recommendation.,https://arxiv.org/abs/1703.04247
71,AutoRec: Autoencoders Meet Collaborative Filtering,Suvash Sedhain et al.,Recommendation Systems,"autorec,autoencoder,recommendation",Applies autoencoders to collaborative filtering for personalized recommendations.,https://dl.acm.org/doi/10.1145/2740908.2742726
72,Deep Interest Network for Click-Through Rate Prediction,Guorui Zhou et al.,Recommendation Systems,"din,ctr,recommendation",Models user interests dynamically for click-through rate prediction.,https://arxiv.org/abs/1706.06978
73,Graph Convolutional Matrix Completion,Rianne van den Berg et al.,Recommendation Systems,"graph neural network,recommendation,matrix completion",Uses graph convolutional networks for recommendation systems.,https://arxiv.org/abs/1706.02263
74,PinSage: Graph Convolutional Neural Networks for Web-Scale Recommender Systems,Rex Ying et al.,Recommendation Systems,"pinsage,graph neural network,recommendation",Scalable graph-based recommendation system developed at Pinterest.,https://arxiv.org/abs/1806.01973
75,Session-Based Recommendations with Recurrent Neural Networks,Balázs Hidasi et al.,Recommendation Systems,"gru,recommendation,session",Uses recurrent neural networks for session-based recommendation.,https://arxiv.org/abs/1511.06939
76,Graph Attention Networks,Petar Veličković et al.,Graph Neural Networks,"gat,graph neural network,attention",Introduces attention mechanisms for graph neural networks.,https://arxiv.org/abs/1710.10903
77,Semi-Supervised Classification with Graph Convolutional Networks,Thomas Kipf and Max Welling,Graph Neural Networks,"gcn,graph neural network",Introduces Graph Convolutional Networks for semi-supervised learning.,https://arxiv.org/abs/1609.02907
78,GraphSAGE: Inductive Representation Learning on Large Graphs,William Hamilton et al.,Graph Neural Networks,"graphsage,graph embedding",Learns node embeddings for previously unseen graph nodes.,https://arxiv.org/abs/1706.02216
79,Node2Vec: Scalable Feature Learning for Networks,Aditya Grover and Jure Leskovec,Graph Neural Networks,"node2vec,graph embedding",Efficient feature learning for graph-structured data.,https://arxiv.org/abs/1607.00653
80,DeepWalk: Online Learning of Social Representations,Bryan Perozzi et al.,Graph Neural Networks,"deepwalk,graph embedding",Learns latent graph representations using random walks.,https://arxiv.org/abs/1403.6652
81,LIME: Why Should I Trust You? Explaining the Predictions of Any Classifier,Marco Tulio Ribeiro et al.,Explainable AI,"lime,explainable ai",Model-agnostic explanations for machine learning predictions.,https://arxiv.org/abs/1602.04938
82,SHAP: A Unified Approach to Interpreting Model Predictions,Scott M. Lundberg and Su-In Lee,Explainable AI,"shap,explainable ai",Introduces SHAP values for interpreting machine learning models.,https://arxiv.org/abs/1705.07874
83,The Mythos of Model Interpretability,Zachary C. Lipton,Explainable AI,"interpretability,machine learning",Discusses the meaning and limitations of interpretability in AI.,https://arxiv.org/abs/1606.03490
84,Distilling the Knowledge in a Neural Network,Geoffrey Hinton et al.,Machine Learning,"knowledge distillation,deep learning",Introduces knowledge distillation for compressing neural networks.,https://arxiv.org/abs/1503.02531
85,Net2Net: Accelerating Learning via Knowledge Transfer,Tianqi Chen et al.,Machine Learning,"transfer learning,knowledge distillation",Accelerates neural network training through knowledge transfer.,https://arxiv.org/abs/1511.05641
86,FedAvg: Communication-Efficient Learning of Deep Networks from Decentralized Data,Brendan McMahan et al.,Federated Learning,"federated learning,fedavg,distributed learning",Introduces the FedAvg algorithm for decentralized model training.,https://arxiv.org/abs/1602.05629
87,FedProx: Federated Optimization in Heterogeneous Networks,Tian Li et al.,Federated Learning,"fedprox,federated learning",Improves federated learning under heterogeneous client settings.,https://arxiv.org/abs/1812.06127
88,AutoML-Zero: Evolving Machine Learning Algorithms Without Human Intervention,Esteban Real et al.,AutoML,"automl,evolutionary algorithms",Automatically discovers machine learning algorithms from scratch.,https://arxiv.org/abs/2003.03384
89,Efficient Neural Architecture Search via Parameter Sharing,Han Cai et al.,AutoML,"nas,automl,neural architecture search",Introduces efficient neural architecture search using parameter sharing.,https://arxiv.org/abs/1802.03268
90,Neural Architecture Search with Reinforcement Learning,Barret Zoph and Quoc V. Le,AutoML,"nas,reinforcement learning",Uses reinforcement learning to discover neural network architectures.,https://arxiv.org/abs/1611.01578
91,Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting,Haoyi Zhou et al.,Time Series,"transformer,time series,forecasting",Efficient Transformer architecture for long-sequence forecasting.,https://arxiv.org/abs/2012.07436
92,Temporal Fusion Transformers for Interpretable Multi-horizon Time Series Forecasting,Bryan Lim et al.,Time Series,"transformer,time series,forecasting",Interpretable Transformer model for multi-horizon forecasting.,https://arxiv.org/abs/1912.09363
93,N-BEATS: Neural Basis Expansion Analysis for Time Series Forecasting,Boris Oreshkin et al.,Time Series,"n-beats,time series",Deep neural architecture for univariate time series forecasting.,https://arxiv.org/abs/1905.10437
94,CLIP: Learning Transferable Visual Models From Natural Language Supervision,Alec Radford et al.,Multimodal AI,"clip,vision language,multimodal",Learns image representations using natural language supervision.,https://arxiv.org/abs/2103.00020
95,BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding,Junnan Li et al.,Multimodal AI,"blip,multimodal,vision language",Unified framework for vision-language understanding and generation.,https://arxiv.org/abs/2201.12086
96,Flamingo: A Visual Language Model for Few-Shot Learning,Jean-Baptiste Alayrac et al.,Multimodal AI,"flamingo,multimodal",Vision-language model capable of few-shot learning.,https://arxiv.org/abs/2204.14198
97,Constitutional AI: Harmlessness from AI Feedback,Yuntao Bai et al.,AI Safety,"constitutional ai,alignment,llm",Aligns language models using AI-generated feedback instead of human labels.,https://arxiv.org/abs/2212.08073
98,Sparks of Artificial General Intelligence: Early Experiments with GPT-4,Sébastien Bubeck et al.,AI Safety,"gpt-4,agi,llm",Investigates whether GPT-4 exhibits early signs of artificial general intelligence.,https://arxiv.org/abs/2303.12712
99,Constitutional AI: Harmlessness from AI Feedback,Yuntao Bai et al.,AI Safety,"constitutional ai,alignment,llm",Aligns language models using AI-generated feedback instead of human labels.,https://arxiv.org/abs/2212.08073
100,Red Teaming Language Models to Reduce Harms,Deep Ganguli et al.,AI Safety,"red teaming,llm,safety,alignment",Introduces red teaming methods to identify and reduce harmful behaviors in large language models.,https://arxiv.org/abs/2209.07858
